,cases_per_mil,deaths_per_mil,reprod_rate,string_index,pop_density,median_age,life_expect,hum_dev_index,gdp_per_capita,social_support,life_choices
United Arab Emirates,90863.423,230.706,2.73,89.81,112.442,34.0,77.97,0.89,1.503,1.31,0.598
United Kingdom,327985.963,2620.328,2.71,87.96,272.898,40.8,81.32,0.932,1.333,1.538,0.45
United States,252353.872,3018.067,3.67,75.46,35.608,38.3,78.86,0.926,1.433,1.457,0.454
Uruguay,262940.612,2073.654,2.27,87.04,19.751,35.6,77.91,0.817,1.124,1.465,0.523
Uzbekistan,7043.454,48.238,1.9,93.52,76.134,28.2,71.72,0.72,0.745,1.529,0.631
Venezuela,18241.385,199.304,1.89,97.22,36.253,29.0,72.06,0.711,0.96,1.427,0.154
Vietnam,109183.018,438.815,2.0,96.3,308.127,32.6,75.4,0.704,0.741,1.346,0.543
Yemen,387.726,70.481,1.82,64.81,53.508,20.3,66.12,0.47,0.287,1.163,0.143
Zambia,16992.169,210.616,2.62,70.83,22.995,17.7,63.89,0.584,0.578,1.058,0.431
Zimbabwe,16703.495,364.427,2.87,87.96,42.729,19.6,61.49,0.571,0.366,1.114,0.361
